mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,zcr,rmse,label
-384.4685,101.42929,1.5002843,10.160553,-2.8248804,-12.250242,-11.016549,-14.689431,-18.060438,-13.444326,-11.76296,-9.735816,-11.765328,0.09948928726798144,0.090544395,indian
-296.24448,111.02955,10.514485,26.270664,20.216331,-5.935843,-27.090994,-9.128458,-17.640848,-13.591536,-9.808616,-9.053136,-15.280509,0.09067076928654293,0.11269914,indian
-375.3322,107.885185,8.737129,0.6411674,-11.717881,-10.47419,-8.03041,-13.187605,-19.294258,-11.600482,-10.192712,-6.0908513,-8.961769,0.0922092517401392,0.09205542,indian
-366.0185,98.530174,3.4759457,9.697275,-2.0516982,-12.727016,-10.618465,-15.527827,-18.662493,-13.940864,-13.466518,-6.4577346,-11.916671,0.08544128842807425,0.10191963,indian
-313.59528,107.20925,8.796255,29.91804,24.027355,-10.135862,-24.176239,-5.482871,-13.659356,-12.869319,-9.910036,-9.286132,-17.665894,0.0835991879350348,0.099644884,indian
-394.1624,44.274807,-37.75725,-12.205789,-10.370959,-18.618093,-14.128259,-7.3136687,-8.198244,-3.9963837,-17.659618,-8.607421,-11.2280445,0.21882477160672853,0.03936197,british
-302.88153,119.94659,-51.63544,-9.494886,-21.5787,-23.10369,-37.08503,-24.024105,-14.788763,-5.794283,-1.4939288,-6.539416,-6.2986326,0.07805022839327146,0.09228703,american
-501.204,46.691475,6.6467495,4.8297668,-9.221274,-14.086648,-19.338049,-4.2484884,-6.046124,-0.81093746,-6.1501822,-4.814766,-10.13362,0.2351838928364269,0.025250087,british
-412.4035,53.200813,-42.164852,-4.0021977,-15.380106,-26.48757,-20.504976,-4.1431546,-4.3704157,-5.961087,-10.479048,-0.5363296,-13.901652,0.14857118256960558,0.03670672,british
-397.83926,99.69865,3.3229373,3.9485447,-14.351989,-17.59689,-16.930708,-6.894214,-15.652535,-7.7701497,-9.743175,-1.7415831,-7.6997194,0.11333109773781902,0.058544513,american
-402.38052,85.38031,18.497639,34.98969,9.009839,25.64696,2.5682156,-4.423034,-5.5964737,-7.4450927,-16.568445,-6.292191,-10.712986,0.1187418430974478,0.048551656,british
